row,headline,fp_labels,gt_vehicles,gt_incidents,url
224,No emergency vehicles visible,vehicle:none,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/6/11/PlaFF0fRvyEXWNpAWmF9oYnKU1w0.jpg?Expires=1812818801&Signature=fovkJfWbJzblBbf1t9iJJhdnO8ZdKDopAk-YtPdR13yerV8Kz-enOqK0iBw3Jj~pv6S~GkK7wLXQCMH-WDW~8-8BMpsG3kYfYFByUY1WJS~Glo5CmNUO4Jjo95qQ6KRyo7-f3HUesH7GsKAHqTPpzsQA8cHs4-TlECBQllEVEf8-RZlD13ZwkwSVCWKgvG14Mh145uU5jTFb6FRxzpmtfSVx58NvPO838xydmjIpb71d3em7je0dWrmXqJ0jdkgR8YFKNpo2GayD5hGmnE9O2zks1-r8XzvjoxbodIfpNY-tcgMSThCTgHfvoxlZWqcnFwIK4RtH8ZsYxJkpFI2eDQ__&Key-Pair-Id=K1LXZK7POOSHBA
226,No emergency vehicles visible,vehicle:none,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/6/11/Lj5RK3b3uuWKjSM5D087nZ5JYcg0.jpg?Expires=1812829082&Signature=05cQFBuUO7q5SFl-DqgFzQf6fMsB616-ZBfF-rPpcOdJp0LHTSQP87GJbGrLUxuX2-MXYmK~soVCRqVjCLnzh3jMccx5EGRIsVDYAumVkiW9SOZyT5LPLaPpVpeEOrwmIjumTCCLBPy7iPXYfmsPK9anPboGr6kxMOpIKyNlXki8Ik4BzIAdxR0hz9e5ijSuVfGZsAGC20Zx55Sw3bHonG1Xiy9Lofd2Hc5A-RKZ3S84Yc8HgrjIPna20s~sFDqGRKRoJ5jVP1-6wYJIYihR3RWtiYGRHvgrdHLevPwHt3qhFvE9ab5Loq6-rmS7KyLPSiqOXE~FBLZciPs7U~7-iQ__&Key-Pair-Id=K1LXZK7POOSHBA
227,No emergency vehicles visible,vehicle:none,(none),(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/6/11/P34Ut1wE7U2LRnVuprC76mn8zxg0.jpg?Expires=1812824653&Signature=u1j7LEcemm7X8ZtrkM4uIwv-rZK512ac2wJ8bbv8E6ngOzzQ7gieR1iNTRbFPDohNsC5zG6sH6LS6SLuvQ52xKANz4iQjZmgg4yju6g9~PE-er2l~kv9ESUhC-5y9dWyr8Egb1O5AWCtLoLMvJ5unPAoJTkqyeao1fswBl31R~lUDbNPXPX2u4Lte72IJ6DidKARTErKyZJ35gplKvbeU6jyCX5Pl5airfGnYqRieHTKONys1ZXwtS61AGpGQgG7~LKqg3vzPlViKs67NsuRJ9FCI7PNittodEs9h~RrRcOoWKLwlx1eskn8wttaWjVbOXRHK~Ujr~b15wGJ4bAZJA__&Key-Pair-Id=K1LXZK7POOSHBA
232,Police vehicles detected responding to crowd,incident:crowd,police,blocked_road,https://alertmedia.dataminr.com/Prod/vz/image/2026/5/22/1U7YmmUYILOjF7lWMheEoMTWOu00.jpg?Expires=1811092436&Signature=zpZIph2bBQEtQrFhYbN3Vz1gn7FOSOObAOXMWi7boPinVViJup4PdLeKH0-u98eVUiUjD2gu4VGW3K0qW43IT5O00TkdviKSKwLpZxfCYpZUoOvYkkvewQV2IJbqK5MJgmpxF61m6lQUdVKhLXfu0ZJLxV11Z7hMG7MHggL0Fq5D4MBiH26-XMgE8gv37WjE1yNnJ-31w17DG9r3QFACo--xJvetXuaUPb-Xc7nTNPWcaA-MxyDUm6t4EMNUAtjSyv3Qstz0N2p9ztEoQSZUWRry7n6VdX0iWK4bHIbyqh3zqMLgMza2oteM7lV8OfTEqqijhsCwo8-lqbMsqeotNQ__&Key-Pair-Id=K1LXZK7POOSHBA
234,Police vehicle detected responding to crash,incident:crash,police,pulled_over,https://alertmedia.dataminr.com/Prod/vz/image/2026/5/27/740lpezJ4Bqs8ngade6GGMLGwl80.jpg?Expires=1811512017&Signature=jK3ZHktPjmW-iZeeJAm1u7anALa1LDMMqjk0M4DnAlbgZzsxupLKPgEzrtvHrPXq~9cKZYznqxy7JrgA69fZn9COM3qW0PVUteCtliS4-3ggDbxyYeG-z9cBmK-2ofoOgGnXLuuJcvg15akrrdV-vtQa2Vwq2cOdaQKjvi8CkjO8BidgQulL09hsDEaZCQHEsKaF90gv1MGn1n9FNdKYQyQxpvgFa1x3yWo~f1NVxCag~2gka6JYrW8o~SJ07gsDe-O4DnEhYRDxJzZjXDEmAurHF3bB4Ex~QyLXaE14-oXsbykrYJu3XRoo1dqdFlcRFrj0H-sPRkAJaOeLomW9Mg__&Key-Pair-Id=K1LXZK7POOSHBA
235,No emergency vehicles visible,vehicle:none,(none),(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/5/22/faLjAXrdbbuT47r4hKtj3fmthsg0.jpg?Expires=1811091342&Signature=P5uDqIk-wks6PoV4ycvyDNpgohxhZklAbf2OkhdLQjGlcBEX4Zo1tqlL8FgcAYBtr-bwbC~0vMJYMZnThDZS3~uFjpXAJIVP7stOFhfRzE3wMwqO4odW9y4WsNYo3oi2IG0f03CvkqUQYQfVpSyAmx7IhKpddEABvnLyySLUyZnqbxkLgmkwvzhNIFlD7Da4JgfUSLlfw52fcjJyAqHDbob0qo~71ZLg5u1wZhGr~M6yII~~bFKCBtPdCtxGI9xMSYgnA8xk~aOFBR83~ehC0~NEaIJJbWiHniOtWqJwJjP~CSNiBxKYeX0JdhjJI2UkKLaJaOJ~MOwNH72nIb1bSQ__&Key-Pair-Id=K1LXZK7POOSHBA
238,No emergency vehicles visible,vehicle:none,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/6/11/jpsyeD9IeFZGfhbhZIe8XyM0fRY0.jpg?Expires=1812832040&Signature=q6TJOIJ8XP3gDJFDL7TKYRbKpvThcAN1-Z~llIRBeswBjVT0WPX0AUNd2jHIe9ACCCkaiFp~7p~bYlX93XjE78ViFJLhw1LrzCvQd7MXqeSW1FLYy17TiKewmEftE4b1lE5hO-~zYbV6TPVwo5bDIVuldj-ZSsUfVVwum5kjSHnn9irIF5G35ZqX72WfzBPPBKUghdqjAetp-7rWJQZ3wwobr9oUiD7HOKxtqep7Oz~CrWufRGpmwY0u~J4NJ1r4mGe9IUJN0ss4Mqgi8uxUFSu49a6QjWRkcTv-n5ybCIAZr~jf-ackvbv7u-2ZvmwcHNq-xAy1Y3EUN67BfDAzQA__&Key-Pair-Id=K1LXZK7POOSHBA
240,No emergency vehicles visible,vehicle:none,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/6/11/Ks4BXZIsFa9a8FELSfpsccdz9us0.jpg?Expires=1812824268&Signature=fhZPcDwMr0o05MuOXqXREike1BrK3pFm4kaZm7Hf~NggY1bVFFk~rKp2uamR0gsH2dfEpJwLUEyaJVzx9pyq~gkFCZylsmfU-BEU-xCNYLfpGjvOMmVLqV6BS-yLoBKJNo6jVt0s5djzjUkeLtOExaQKPvHWbFgD5l9r4nz0I5-QcUJ7isX6USHC6k91lOfK3KdhtzJ4AaxMH-3TU9EfuI4eb9OM2ynxVWzPVZt3MZtsdwVha9G1T8U1R-WrIsLfbV1qg8NZfoAl~Q2mDTYPOR86BcrPosoEaFrRxNEUPFcxGjX2fl1SeTTflc23N5Qg9iA37VybTf3t3KrNTkneng__&Key-Pair-Id=K1LXZK7POOSHBA
241,Police vehicle detected responding to blocked road,incident:blocked_road,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/5/23/d9yl6aqAn3z9icuvq0i2QeAEiJs0.jpg?Expires=1811161560&Signature=qTSsLTei-puyoqaPRt1mpSOGg2-PK85C5EWXBoIOnopQqAz5xF-7Zh2GAF12740NwMd~GeMA5~pWmWn96wN~bjzuRs4SANLBRrqILpb5yldMiUkvB9MN6CPJANj4tJ9XeuO9YpAQlwHgzLgRnmCFBHsR80jyUG-sRNUMmISFYMp2OQZrxVuM5NurwPH5fPlq9m42bB-TJlBtdIEA-AgpQ9FicH3rfgDoG1vqQuf~BTf2PdnUxLxgq5ms~n9vG6llQclcFuGyd7UOQbY22mmYP5B12tXzwcGR-F2IPPcs2eAtOn~LJC1eWEpvlXn-HA58IZiZ94y6-NZUJHcd0n3zhQ__&Key-Pair-Id=K1LXZK7POOSHBA
243,Police vehicle detected responding to pulled-over vehicle,incident:pulled_over,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/5/25/CzGaZ4tzKbKKsOGHPjq2L8ttAng0.jpg?Expires=1811332080&Signature=oWO0uBLcaFeUQCi9cMybtsWRx6u49vmM7SGctXzkZPqrpE1DqUDQjGTlj2LEmTETv~T8tEOskuxxkRT9xUiyzQ-Qc-XYeQOlUwlxMGw3KchF7CmIqnxQX42GDmTWHUVThBh1qd3jGvGaiItkTjB~pCTpXx7V7TtzBmJ3qKuF06lLGyKZxHhsFu2LQQb3jXNRQ0WZrEcVgkMRenchBD1LROM9YDrdWJvIIrJgdNCetLVSwi63BYkSpGMss7qT4QX~R0UuOpeVb90HGlEtnHL~7kXMdrpXsq8N45AXs8q5Dga8Nn1PaqyVYua0snBit57PMl9nPAkWm-t6~X43pqcq~Q__&Key-Pair-Id=K1LXZK7POOSHBA
244,Police vehicle detected responding to pulled-over vehicle,incident:pulled_over,police,crash,https://alertmedia.dataminr.com/Prod/vz/image/2026/5/25/nuWNJOAXDDBHrCAzISWgnZaIoV40.jpg?Expires=1811329603&Signature=n7uj9m5MPeHrS4XUJXN67SY5iCdYLPZr1HKtyv4CUmnx6AOoPei8JA7pY0xLfIW6OQqXwKzST3fBT0nfwenr1~~G59TEVk6GhNZCbVr1NFxi1hAIaq70rViK8wvhIvfFvcsGDeXbtVxwvq1THVprWnWTECV3n6726iljKNTCEfwtnARmDivU~w7-PfEMwc~lWvAGMezi7xLkQscXXV1dTOlSOkJ77-fokx2qGoRwlMYt3kfXvs1lcqhSZbIdmfsjAJIX0oJgCOb1v7z4vlNSSYRFf~JxYajguOU8nKbLDqvnLxaXCOhZuSlbptY4TLosSauwI1bsot3lYZVC1Hk5mQ__&Key-Pair-Id=K1LXZK7POOSHBA
246,Police vehicle detected responding to pulled-over vehicle,incident:pulled_over,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/5/24/nSskn00hSBEOkVm8cPNGmv5Zpek0.jpg?Expires=1811279032&Signature=ZloCiBYhRlS3MM5OJYCwOxYo4~-aurp693o5umT6cM99nRXX6Ud-bzrWl2JhhCZ-97SYunNU6a09xwmy6676cg1sfIljs9DqK9EkqK3Fotr253Hx4J1InbQTZ8k4qoQVScan497ZO1c32MExzIF9DuUhQSoa7NwPLO~incbS5pfESRYVGxgHzcZ1p2CwEX~0vXj22nGmSVRlHb1qbFpPG8WzXFY-tYGmRaPk1vwwwFf301iyp55rMF9efkYX3J1xNafvvKDHV1wj20onsEo35CsapEwP8r2zxO8ZfYXuZOCPZBZQCMZImbLiawhUeOayLw2cDX3HoQ29CsnQLLOPkA__&Key-Pair-Id=K1LXZK7POOSHBA
247,No emergency vehicles visible,vehicle:none,(none),(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/6/11/NTH4mi54BrmwhGHdwTRqBFJsF0I0.jpg?Expires=1812836648&Signature=hDcSwLX913JUV4zBfbc3FPfDuePWHnmXGyLHlds4MvKjKRW7Hn-co35j8yMgSEU7HqpK0oxZM-xPQbAAOFJjHa34FjAirvNBru46kc8fZiten2u0NWE7mb~rh~VmMan35vPLlu3z0xRJZ-0-MlyGZdGqRkx4L3aWb6tE-uuGCG3QAqpuGcxt2bNJotf7F0I-w157FCalwvInJpWbZGjzvMwWoaZTRH1aHPy90Epiu-kwHQXh15ZCPzSRPCdn1zQhtPGAVLPgN-puDAcVeK6MEBOwIJFGnc6JwU7euQAx2D3PTsOZswG7BL9-U-ORL-nEtgMWa8zN0vS5dzFmClx-7Q__&Key-Pair-Id=K1LXZK7POOSHBA
249,Police vehicle detected responding to incident,vehicle:police,none,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/6/12/gnb2uEr7L56Wlp1zM3lMkJciOOM0.jpg?Expires=1812868083&Signature=rPgVp6qoJPmsSsQ85eMeIRlqh2a68wy7USz6EEmflQeIlxnfd6yFauw4cIx2D2KD1nd9KJ0MguK-DRvw~EPURYZZoPIicQp36Qdigr9BPk7NozJ-~sQTkm9sAazCweC6lAfvsuT469CaT8QsWTY~8Age-5WtmUwExknITsJKHRWE-PBPAW7gMp4I892tMbqBj8cus7tPlhTez1AMTiEIVvNHQsfxAXbp-PAGzvpdqjRZNKubfxCQ391VQO0IaCvPEGlh5tgJ9V97A9FbOcHjZPou2EZrvXbG0nwiW6WSX-4yRQXT-DV7Zhjdj84h6S2RxYuZGIKzMCyQBGiOXhWWEw__&Key-Pair-Id=K1LXZK7POOSHBA
250,Police vehicle detected responding to pulled-over vehicle,incident:pulled_over,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/5/23/NONTwKkRM0qGu79Z4g8cccQfdD40.jpg?Expires=1811145495&Signature=X-VK5tZ8~Y-IPdrhQm4OkqfeVli5FdPdjApsTVIyYWFGmwbMTkUlbsrH66VN84glxVz8XPbepClq2XB-Oazsdfp6wAA2Bie0t630JtDtjscWU4bAD1yX1CSzMCk7KG6X-i-WI7hXKE3vzCMd~NBYa0B1uvjSROtJQj-6ZuJUmcGzWbGWzDwPNvXGQzDI~cYJj9IfZc5ALkQirwqSRQdM4TOGRz3O50dewEAVA2XfVkbdlkk3g4mL6tTTRX6CRCl6XctEN1ibW39Ku6vsXi3H0Ev3wbLRIrp~5hobZv4yHvqDQhVRVmTt1OkY2hjn6-bz6KFUatFPAV6vJkMK7MY2Og__&Key-Pair-Id=K1LXZK7POOSHBA
251,Police vehicles and Fire truck detected responding to crash,incident:crash,police; fire,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/5/26/MUsnxMCK59GhsylLIK8MtosoJyg0.jpg?Expires=1811431310&Signature=HiKDjTblp6pD1OLDGeRYUeig06WAxvQg45PieGSsf7K1NdNb0q3zJe21mb6NryOWGDDSyjpwHYCAyGk0kfA9aEFcNMQd2ULpamTf~Nm~OGTyW7Xp2LoAzcnSeJhDSEQkAEH8RW0rmDkllMUpgUYMiKb7grN5rWCfv13RBRgsfBb9Oscq9T0oQ-RWU~sVH3UdETzyomEknWfjitcT5eTH0p-4KoKgogxRPEm0rnl4YXvAhmsBiF~NHRB~kVxSvBbbHU~mTeHs41yNenB3wfO4sDavNqkxDUZbfN8cfxhnM0YOeOmgFOxc2lcecGano8p3TI6KROvdHGKKRS3~e70E0g__&Key-Pair-Id=K1LXZK7POOSHBA
256,No emergency vehicles visible,vehicle:none,(none),(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/6/12/zZbbJc9tjSP0J64N30wGMKffnUo0.jpg?Expires=1812869871&Signature=BQBDmq7OhBTCi7Yoy~IvNgPezLLOTq6MOgj45eSVHnLLmkTx-5MDpdxRROC599fBA8z9dFCXcYScY83DbL3i~2VwWeZf1dwD9ttCJkKIq0~4HqdP9vrS3uV8lzEIXvJqEMHrFagGufBBheMKeA2gPvNeXn1wYQJSzA87O24meyclEdlrvOL~-hsZgY3vEMvV31Wr0nDu6WUh504XahxlEbKsFINWBeTqfAoRNJovZ0JjUlXcneC55b2FwhPON-jgvXlmav36Uwzv63CTOuvu2~zN0vNaP3XcuYe-kQlD~~hlwOKKagt0yLe4mDrKf70LYU87PRVw-zcMhOH1IxWupQ__&Key-Pair-Id=K1LXZK7POOSHBA
259,Police vehicle detected responding to pulled-over vehicle,incident:pulled_over,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/5/27/Q4CDNVKa3ieVsSv8QND2sRz1gC40.jpg?Expires=1811526742&Signature=ilkzlaNiyr34G6COEWO4hc7ywdYkdI4MedpkjUE~91ZVHpJQ0a-SEnzPWRX9rBciod-nMdjNrGj3NRTL4t7oTXJ1n1K6FKrsq910ypk4O3Vcilg0sOvgpHcRsqyIlxTX68Y-BmZVjRBAwh2NyqW-0bB0iSAJCFlweDLYz9qGr2p2Ryfrf8yoQ8CsE~D4VEiX3bld8bTo9BMwCHs99IDRMDfh0iXhVpN0~-cBmcq-GevWvJChUXox4DIAmao4xE41SS~UWgUf7AGwrW7Vk34zrSnsYuypRqlbiM9aSg9ns6hRwc52JW~O7H6WqEMa09YqO0Tux6aBF-n3ixcteRKcqA__&Key-Pair-Id=K1LXZK7POOSHBA
263,Police vehicle detected responding to pulled-over vehicle,incident:pulled_over,police,(none),https://alertmedia.dataminr.com/Prod/vz/image/2026/5/23/g5jYr97Hecxi81P4nODe1pnAVAc0.jpg?Expires=1811166883&Signature=Vb--zQevgtQYF-NE3bpS701le2GTpZbuzmuRINCX8Rw2GRnW28PbBK5PpxmHnlrfbh7klKu4uvJumR9MLM5TYNkweuaNHJcDzqdZptRJ~OX2pyMcoj1rHBj3mO-fAy-NVofxB3PPlNowOtI-8vJJk11UuFa7A3ZJntJ2tAr-jCvZ28WPht-Shum06z3g5BSDxTChmxKwYI~wK5IWtK1iNP1nasXH~Z8cnbDSiq5OHiaqBY6SozRj1jTHm7QrcqLVzX4TK6zpALQfMEundjl9gjFjWq7uo~PfabIm1OwZ~aMRq5r9cQNDz94Yp2wyU0Ye49IE~21UJQqICI8cXB2JjA__&Key-Pair-Id=K1LXZK7POOSHBA
265,Police vehicles detected responding to pulled-over vehicle,incident:pulled_over,police,crash,https://alertmedia.dataminr.com/Prod/vz/image/2026/5/22/WQB870LLg2q7G2EYn09jwdtvJuQ0.jpg?Expires=1811076073&Signature=oyPdCKEcaIORrOy71RYDH-8y-0s3tpbeT5aJnvLnJ-kI-cly2IJ3QjYzmX-9WZvN2Y0O1~7H1-T5yXXbfcj6n09SB6sR6Ou~RTjnk0Uwb48lYiVAWu3mLHtDb79~N0mG2UlUClaHnzijlUifaKXaWxuthaoakitbQFr6HjIVG-EFg8aDmoPDve0iOPJLMqKoWtaRhxA3Cc0qipPUv2WjkS6P5ZO~x-gHFcyvaAIhIu0WOzHlvVl5P3IXX3Pf8m0300Ypnd3qYWTtZ9oLGQzamfQRI1B9PUDK7KsaBGdeqRQO0Mwc4j9SJ9DEJM4XH-bnTK5k1Y4cOPUJ4pqDkX1z8A__&Key-Pair-Id=K1LXZK7POOSHBA
