dim_esdc_grp.esdcs,fact_alert.alert_id,fact_alert.original_text,fact_alert.source_link,fact_alert.caption,dim_internal_topic_grp.internal_topics,alert_top_threshold.top_threshold__sort_,alert_top_threshold.top_threshold,fact_alert.translated_text,dim_auto_alert_modelset.modelset_name,dim_source.source,primary_source_channel.channel,fact_alert.has_tagged_company,fact_alert.location_name,dim_internal_place.country,fact_alert.location_parsed,fact_alert.alert_caption_ai_summary
"ESDC - Consulting & Commercial Services, ESDC - Cyber - DDoS, ESDc - Cyber - DDoS 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3, ESDc - Industry Threats - Professional Services",221897752078081616546249-1781849401185-1,DDoSia target: idp.iamfas.belgium.be (http) - GET /sma/public/resetpassword/chooseCredential?nrn=110100$_15&email=$_1%40gmail.com&g-recaptcha-response=&response=,https://idp.iamfas.belgium.be/sma/public/resetpassword/chooseCredential?nrn=110100$_15&email=$_1%40gmail.com&g-recaptcha-response=&response=,Pro-Russia NoName05716 hacking group adds Federale Overheidsdienst Mobiliteit en Vervoer domain idp.iamfas.belgium.be to target list for planned DDoS attack: Corporate.,"+ Cyber - Professional Services - Industry Threats, Consulting & Commercial Services, Cyber - DDoS - Attack Vector, Cyber - Hacktivists - Threat Actors",4,Signal,,dgm_mds_ddosia_target,belgian federal government,corp,Yes,"Brussels, Belgium",Belgium,"50.8476424,4.3571696",Pro-Russia hacking group NoName05716 has added the Belgian Federale Overheidsdienst Mobiliteit en Vervoer domain idp.iamfas.belgium.be to its target list for a planned DDoS attack.
"ESDC - Consulting & Commercial Services, ESDC - Cyber - DDoS, ESDc - Cyber - DDoS 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3, ESDc - Industry Threats - Professional Services",047901557229046789768-1781849401081-1,DDoSia target: finances.belgium.be (tcp) - syn_ack ,https://finances.belgium.be,Pro-Russia NoName05716 hacking group adds Federale Overheidsdienst Mobiliteit en Vervoer domain finances.belgium.be to target list for planned DDoS attack: Corporate.,"+ Cyber - Professional Services - Industry Threats, Consulting & Commercial Services, Cyber - DDoS - Attack Vector, Cyber - Hacktivists - Threat Actors",4,Signal,,dgm_mds_ddosia_target,spf finances,corp,Yes,"Brussels, Belgium",Belgium,"50.8476424,4.3571696",Pro-Russia hacking group NoName05716 has added the Federale Overheidsdienst Mobiliteit en Vervoer domain finances.belgium.be to its target list for a planned DDoS attack.
"ESDC - Consulting & Commercial Services, ESDC - Cyber - DDoS, ESDc - Cyber - DDoS 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3, ESDc - Industry Threats - Professional Services",3785057803001494-1781849401083-1,DDoSia target: www.belgium.be (http) - GET /nl/nieuws/overview?page=$_2,https://www.belgium.be/nl/nieuws/overview?page=$_2,Pro-Russia NoName05716 hacking group adds Federale Overheidsdienst Mobiliteit en Vervoer domain www.belgium.be to target list for planned DDoS attack: Corporate.,"+ Cyber - Professional Services - Industry Threats, Consulting & Commercial Services, Cyber - DDoS - Attack Vector, Cyber - Hacktivists - Threat Actors",4,Signal,DDoSia target: www.belgium.be (http) - GET  /nl/news/overview?page=$_2,dgm_mds_ddosia_target,belgian federal government,corp,Yes,"Brussels, Belgium",Belgium,"50.8476424,4.3571696",Pro-Russia hacking group NoName05716 has added the Belgian government's mobility and transport department (Federale Overheidsdienst Mobiliteit en Vervoer) domain www.belgium.be to its target list for a planned DDoS attack.
"ESDC - Consulting & Commercial Services, ESDC - Cyber - Doxxing & Leaked Credentials, ESDC - Cyber - Ransomware, ESDC - Data Security, ESDC - Industrials - Equipment & Machinery, ESDc - Cyber - Deep & Dark Web Exposure, ESDc - Cyber - Hacking Services 2, ESDc - Cyber - Hacking Services 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3, ESDc - Industry Threats - Industrials & Manufacturing, ESDc - Industry Threats - Professional Services",755355268940834003025-1781798547504-1,"Alleged data breach of Inter-Con Security Systems, Inc
 The threat actor claims to have breached data belonging to Inter-Con Security Systems, Inc.",http://shnyhntww34phqoa6dcgnvps2yu7dlwzmy5lkvejwjdo6z7bmgshzayd.onion/,"ShinyHunters hacking group allegedly breaches Inter-Con Security Systems, Inc., compromising over 2.7 million records and internal corporate data: Blog.","+ Cyber - Deep & Dark Web Exposure, + Cyber - Industrials & Manufacturing - Industry Threats, + Cyber - Professional Services - Industry Threats, + Data Security, Consulting & Commercial Services, Cyber - Hacking Services - Illicit Sales and Services, Cyber - Hacktivists - Threat Actors, Cyber - Ransomware - Threat Actors, Industrials - Equipment & Machinery",2,National Urgent,,dgm_falconfeeds_ransomware,shinyhunters,blog,Yes,"Pasadena, CA, USA",United States of America,"34.1476527,-118.144302","ShinyHunters hacking group allegedly breaches Inter-Con Security Systems, Inc., compromising over 2.7 million records and internal corporate data."
"ESDC - Consulting & Commercial Services, ESDC - Media Coverage, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3",883334971665820497-1781843416502-1,"
- Iran-linked group claims prolonged access to sensitive FBI drone data
- World Cup security enters spotlight after hackers issue public warning
- Handala expands attention with claims involving American institutions recently
An Iran-linked hacking group has claimed access to FBI drone systems and issued threats referencing the ongoing FIFA World Cup in the United States.
Monitoring organization SITE Intelligence Group says the group known as Handala said it had maintained access to surveillance information gathered through FBI-operated drones for months.
The claim emerges amid heightened concerns over cyber activity linked to Iran following military developments involving the United States, Israel, and Tehran earlier this year.
Hackers claim access to FBI drone surveillance systems
Handala alleged that it obtained access to imagery and intelligence collected by first-person view drones reportedly used in counterterrorism operations.
The group claimed those systems included capabilities such as facial recognition technology and license plate identification functions used during surveillance activities.
In a message cited by SITE, Handala warned authorities to strengthen security surrounding World Cup events while making references to FPV drone operations.
""Better tighten your World Cup security, we don't like some of those teams at all,"" the group said.
""Don't forget: FPVs are everywhere; you never know when one might end up right in your team's bus.""
Those remarks have drawn attention because the FBI is already deploying drones around World Cup stadiums to monitor unauthorized aircraft activity.
Authorities have also imposed flight restrictions over stadiums hosting tournament matches and over related fan gathering locations.
However, questions remain regarding the accuracy of Handala's claims and the authenticity of the evidence released alongside its statements.
SITE reported that photographs and videos published by the group were described as material originating from compromised FBI drones.
One video cited as proof was later disputed by SITE, which said the footage had actually been produced in December 2024.
According to the monitoring organization, that video was created by a software company promoting technology used by a US police department during tornado damage assessment operations.
Previous incidents fuel concerns despite disputed evidence
Handala has attracted attention in recent months through a series of claims involving American and Israeli organizations.
In March, the group said it had compromised the email account of FBI Director Kash Patel before releasing personal photographs and additional material online.
More recently, it claimed to have breached California Water Service and even released a 5GB data dump as proof.
The organization is widely regarded as operating in alignment with Iranian interests, although public attribution remains a matter of ongoing assessment.
The Justice Department previously warned that Iranian actors could increase cyber operations following US and Israeli military strikes on Tehran in February.
Those developments contributed to a broader conflict across the Middle East and raised concerns about retaliatory activity against American institutions.
Firewall and antivirus protections remain important for organizations, although incidents involving surveillance systems often extend beyond enterprise defenses.
The State Department has offered rewards of up to $10 million for information leading to the identification of members connected to the group.
Via CBSNews
",https://www.inkl.com/news/better-tighten-your-world-cup-security-iran-linked-hackers-claim-massive-fbi-drone-breach-threaten-fpv-attacks,Iran-linked hacking group Handala claims access to FBI drone surveillance systems for months: Local News Outlet.,"+ Media Coverage, Consulting & Commercial Services, Cyber - Hacktivists - Threat Actors",6,Hyperspecific,,dgm_int_mds_articles_companymentions_v3,inkl,localnews,Yes,"Strasse 20, P.O. Box 8044, Zurich, Zurich, Switzerland",Switzerland,"47.3768866,8.541694","Iran-linked hacking group Handala claims to have accessed FBI drone surveillance systems for months, according to a local news outlet."
"ESDC - Cyber - Advanced Persistent Threats, ESDC - Cyber - Malware, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3, ESDc - Industry Threats - Technology",24891185173127697951781853528998-1781853528998-1,"While remaining in the shadows, some of our resources are dedicated to developing some interesting software. This is only a small part of it, and it's likely not clear to you right now.  This project was started quite a while ago, but it is now in its final stages and will soon begin full-time operations.

 I am giving information without specifics, because if I give more than is required, they will try to apply countermeasures to our brainchild.  So we'll lay it all out for you once this thing has served its purpose.  You and I will laugh together, but Europe, as usual, will be a couple of steps late and will be sewing up its holey panties.

 Glory to Russia",https://t.me/usersecc/697,"Pro-Russian KillNet hacking group says ""some of our resources dedicated to developing some interesting software"" ""now in its final stages and will soon begin full-time operations"": Local Source Photo.","+ Cyber - Technology - Industry Threats, Cyber - Advanced Persistent Threats - Threat Actors, Cyber - Hacktivists - Threat Actors, Cyber - Malware - Attack Vector",3,Local Urgent,,,tg,chatter,Yes,Russia,Russian Federation,"61.52401,105.318756","Pro-Russian hacking group KillNet announces that its new software, currently in final development stages, will soon be operational."
"ESDC - Cyber - DDoS, ESDC - Cyber - Network Disruptions, ESDC - Entertainment - Industry, ESDC - Tech - Gaming & Entertainment Software, ESDc - Cyber - DDoS 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3, ESDc - Industry Threats - Media & Entertainment",31086117479825090391454-1781827750440-1,"313 team targets the website of MyDisney
 Group claims to have taken down the website of MyDisney.
Event Category: DDoS Attack",https://t.me/xX313XxTeam/1280,313 Team hacking group claims to have taken down MyDisney website with DDoS attack: Local Source.,"+ Cyber - Media & Entertainment - Industry Threats, Cyber - DDoS - Attack Vector, Cyber - Hacktivists - Threat Actors, Cyber - Network Disruptions - Attack Vector, Entertainment - Industry, Tech - Gaming & Entertainment Software",3,Local Urgent,,dgm_falconfeeds_ddos,tg,chatter,Yes,"Disney HQ, Burbank, CA, USA",United States of America,"34.1808392,-118.3089661","A team hacking group has claimed responsibility for taking down the MyDisney website via a DDoS attack, according to a local source."
"ESDC - Cyber - DDoS, ESDC - Cyber - Network Disruptions, ESDC - Leisure - Hotels, Resorts, & Cruises, ESDc - Cyber - DDoS 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3",0800230122469162795936-1781855156445-1,"NoName targets the website of Wallonia-Brussels Federation
 Proof of downtime: https://check-host.net/check-report/42484030ke85
Event Category: DDoS Attack",https://t.me/nnm05716english/2257,Pro-Russia NoName05716 hacking group claims DDoS attack against Wallonia-Brussels Federation website: Local Source.,"Cyber - DDoS - Attack Vector, Cyber - Hacktivists - Threat Actors, Cyber - Network Disruptions - Attack Vector, Leisure - Hotels, Resorts, & Cruises",3,Local Urgent,,dgm_falconfeeds_ddos,tg,chatter,Yes,"Wallonia, Belgium",Belgium,"50.400501,5.1335125",Pro-Russia NoName05716 hacking group claims DDoS attack against Wallonia-Brussels Federation website.
"ESDC - Cyber - DDoS, ESDC - Cyber - Network Disruptions, ESDC - Telecommunications, ESDc - Cyber - DDoS 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3, ESDc - Industry Threats - Telecommunications",5688828774125349853007-1781870385296-1,"NoName targets the website of Proximus Group
 Proof of Downtime: check-host.net/check-report/424c23dekf2b
Event Category: DDoS Attack",https://t.me/nnm05716english/2258,Pro-Russia NoName05716 hacking group claims DDoS attack against Proximus Group website: Local Source.,"+ Cyber - Telecommunications - Industry Threats, Cyber - DDoS - Attack Vector, Cyber - Hacktivists - Threat Actors, Cyber - Network Disruptions - Attack Vector, Telecommunications",3,Local Urgent,,dgm_falconfeeds_ddos,tg,chatter,Yes,"Brussels, Belgium",Belgium,"50.8260453,4.3802052",Pro-Russia NoName05716 hacking group claims DDoS attack against Proximus Group website.
"ESDC - Cyber - DDoS, ESDC - Cyber - Network Disruptions, ESDC - Telecommunications, ESDc - Cyber - DDoS 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3, ESDc - Industry Threats - Telecommunications",15611450446128357328-1781857920668-1,"ZAHER INFINITY targets the website of True Corporation
 Proof of Downtime : https://check-host.net/check-report/42445f9ckc68
Event Category: DDoS Attack",https://t.me/zaher_infinity01/391,Zaher Infinity hacking group claims DDoS attack against True Corporation website: Local Source.,"+ Cyber - Telecommunications - Industry Threats, Cyber - DDoS - Attack Vector, Cyber - Hacktivists - Threat Actors, Cyber - Network Disruptions - Attack Vector, Telecommunications",3,Local Urgent,,dgm_falconfeeds_ddos,tg,chatter,Yes,"Suki Teenoi, 18 Thanon Ratchadaphisek, Khwaeng Huai Khwang, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",Thailand,"13.7857395,100.5774351","Zaher Infinity hacking group claims responsibility for a DDoS attack on True Corporation's website, according to a local source."
"ESDC - Cyber - DDoS, ESDC - Cyber - Network Disruptions, ESDC - Utilities - Industry, ESDc - Cyber - DDoS 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3, ESDc - Industry Threats - Utilities",7183753644793532215249-1781755364965-1,"Dark Strom Team targets the website of Kryvyi Rih Teplotsentral
 Proof of downtime: https://check-host.net/check-report/422ef1bdk8fa
Event Category: DDoS Attack",https://t.me/Darkstormteam22/266,Dark Storm Team hacking group claims DDoS attack against Kryvyi Rih Teplotsentral website: Local Source.,"+ Cyber - Utilities - Industry Threats, Cyber - DDoS - Attack Vector, Cyber - Hacktivists - Threat Actors, Cyber - Network Disruptions - Attack Vector, Utilities - Industry",3,Local Urgent,,dgm_falconfeeds_ddos,tg,chatter,Yes,"Mykolaiv, Mykolaiv Oblast, Ukraine, 54000",Ukraine,"46.9660801,32.003246","Dark Storm Team claims responsibility for a DDoS attack on Kryvyi Rih Teplotsentral's website, according to local sources."
"ESDC - Cyber - DDoS, ESDC - Cyber - Network Disruptions, ESDc - Cyber - DDoS 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3",519715316439818035724-1781769816052-1,"NoName targets the website of Arcep
 Proof of downtime: check-host.net/check-report/42336082k66f
Event Category: DDoS Attack",https://t.me/nnm05716english/2249,Pro-Russia NoName05716 hacking group claims DDoS attack against Arcep website: Local Source.,"Cyber - DDoS - Attack Vector, Cyber - Hacktivists - Threat Actors, Cyber - Network Disruptions - Attack Vector",3,Local Urgent,,dgm_falconfeeds_ddos,tg,chatter,No,"14 Rue Gerty Archimède, 75012 Paris, France",France,"48.8358164,2.388543",Pro-Russia NoName05716 hacking group claims DDoS attack against Arcep website.
"ESDC - Cyber - DDoS, ESDC - Cyber - Network Disruptions, ESDc - Cyber - DDoS 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3",19046649412813005303-1781755568782-1,"Dark Storm Team targets the website of Ukraine State Research and Design Shipbuilding Center
 The group claims to have taken down the website.
Event Category: DDoS Attack",https://t.me/Darkstormteam22/266,Dark Storm Team hacking group claims to have taken down Ukraine State Research and Design Shipbuilding Center website with DDoS attack: Local Source.,"Cyber - DDoS - Attack Vector, Cyber - Hacktivists - Threat Actors, Cyber - Network Disruptions - Attack Vector",3,Local Urgent,,dgm_falconfeeds_ddos,tg,chatter,No,"Mykolaiv, Mykolaiv Oblast, Ukraine, 54000",Ukraine,"46.9660801,32.003246",Dark Storm Team hacking group claims to have taken down Ukraine State Research and Design Shipbuilding Center website with DDoS attack.
"ESDC - Cyber - DDoS, ESDC - Cyber - Network Disruptions, ESDc - Cyber - DDoS 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3",15688254486102630867835-1781769367277-1,"NoName targets the website of Prefecture of Bouches-du-Rhône
 Proof of Downtime: check-host.net/check-report/423355b0k110
Event Category: DDoS Attack",https://t.me/nnm05716english/2249,Pro-Russia NoName05716 hacking group claims DDoS attack against Prefecture of Bouches-du-Rhône website: Local Source.,"Cyber - DDoS - Attack Vector, Cyber - Hacktivists - Threat Actors, Cyber - Network Disruptions - Attack Vector",3,Local Urgent,,dgm_falconfeeds_ddos,tg,chatter,No,"Pl. Félix Baret, 13006 Marseille, France",France,"43.2914708,5.3794482",Pro-Russia NoName05716 hacking group claims DDoS attack against Prefecture of Bouches-du-Rhône website.
"ESDC - Cyber - DDoS, ESDC - Cyber - Network Disruptions, ESDc - Cyber - DDoS 3, ESDc - Cyber - Hacktivists 2, ESDc - Cyber - Hacktivists 3",9620445804355064247-1781791910475-1,"RipperSec targets the website of Israel Science Foundation
 The group claims to have taken down the website of Israel Science Foundation
Event Category: DDoS Attack",https://t.me/c/2875163062/1507,RipperSec hacking group claims to have taken down Israel Science Foundation website with DDoS attack: Local Source.,"Cyber - DDoS - Attack Vector, Cyber - Hacktivists - Threat Actors, Cyber - Network Disruptions - Attack Vector",3,Local Urgent,,dgm_falconfeeds_ddos,tg,chatter,No,Jerusalem,Palestine,"31.7768831,35.2224346",RipperSec hacking group claims to have taken down Israel Science Foundation website with DDoS attack.
