DE TOPICS,DE GUID,Active DE Topic?,News External,News GUID,Gov External,Gov GUID,Finance External,Finance GUID,Corporate Security External,CS GUID,PR External,PR Guid
Roadways - Physical,188130,1,Transportation - Roadways|Transportation and Infrastructure,67177469537839070|3740096349638483156,Transportation - Traffic and Roadways|Transportation & Infrastructure,154034|410010,Transportation - Traffic and Roadways,5773657484614164868,Transportation - Traffic and Roadways|Transportation & Infrastructure,124026|726708,Infrastructure and Disruption - Traffic and Roadways,200018
Maritime - Physical,188131,1,Transportation - Maritime|Transportation and Infrastructure,67177469537839068|3740096349638483156,Transportation - Maritime|Transportation & Infrastructure,154028|410010,Transportation - Maritime,7981876066668584263,Transportation - Maritime|Transportation & Infrastructure,124027|726708,Infrastructure and Disruption - Maritime,200019
Business,188132,1,Business - Financial Markets|Business,67177469537839050|7622234820652165508,Business|Business & Economics - Financial Markets,410000|400001,,,Business|Business & Economics - Financial Markets,177711|853072,,
Environment,188133,1,Environment,1692439032145944775,,,,,Community & Culture,101670,Community and Culture - Environment,200020
International Affairs,188134,1,Politics & Policy - International Affairs|International Affairs,67177469537839098|402248473390474532,"Politics and International Affairs - International Politics|Politics|Government, Policy & Political Affairs - International Politics",144668406703009042|410007|400036,,,"Government, Policy, and Political Affairs - International Politics|Politics|Government, Policy, & Political Affairs - International Politics|Politics & Policy",124017|201466|853089|963003,Government and Policy - International Politics,200012
Crime - Criminal Activity,188135,0,Crime & Public Safety|Legal Action and Crime,67177469537839053|4897800803029175834,Public Safety - Safety Risks|Physical Threats - Crime|Crime,7012068851255801581|420033|410002,,,Crime - Criminal Activity|Crime,124028|247357,Public Safety and Unrest - Crime and Terrorism,200003
News Politics,188136,1,Politics & Policy - Politics|Politics,67177469537839099|5043005248907950115,Politics,410007,,,Politics|Politics & Policy,201466|963003,,
Social Issues,188137,1,Politics & Policy - Social Issues|Social Issues,67177469537839100|3203190180981192997,"Government, Policy & Political Affairs - Social Issues",400039,,,"Government, Policy, and Political Affairs - Social Issues|Service Quality & Public Perception|Government, Policy, & Political Affairs - Social Issues",961914|214218|853091,Government and Policy - Social Issues,200023
Sports,188138,1,Sports,7155345975401603221,,,,,Community & Culture,101670,Community and Culture - Sports,200024
News Tech,188139,1,Business - Tech|Tech,67177469537839088|67177469537839048,,,,,,,,
News Accidents and Emergency Response,188140,1,Hazards - Uncategorized Hazards|Transportation and Infrastructure,67177469537839058|3740096349638483156,Disasters & Weather|Physical Threats - Disasters & Weather,410004|420034,,,Disasters & Weather,106677,,
Weather - News,188141,1,Weather,2938495144390398976,Disasters & Weather|Physical Threats - Disasters & Weather,410004|420034,,,Disasters & Weather,106677,Public Safety and Unrest - Natural Disasters and Fires,200025
Crime - News,188142,1,Crime & Public Safety|Legal Action and Crime,67177469537839053|4897800803029175834,,,,,,,,
Crime - Courts,188143,0,Legal Action|Legal Action and Crime,67177469537839059|4897800803029175834,,,,,Service Quality & Public Perception,214218,,
Arts and Culture,188144,1,Features - Arts & Culture|Arts and Culture,67177469537839091|1156377249787036201,,,,,Community & Culture,101670,Community and Culture - Arts and Entertainment,200026
Lifestyle,188145,1,Features - Lifestyle|Lifestyle,67177469537839094|377031908954646169,,,,,Community & Culture,101670,Community and Culture - Human Interest,200027
Entertainment,188146,1,Entertainment,3185990726268043390,,,,,Community & Culture,101670,Community and Culture - Arts and Entertainment,200026
Food,188147,1,Features - Food|Food,67177469537839093|55981455806482052,,,,,Community & Culture,101670,,
Personal Health,188148,1,Health Issues|Personal Health,7999775135343173770|5563968074512919794,,,,,Community & Culture,101670,,
Parenting,188149,1,Parenting,308362604887234744,,,,,Community & Culture,101670,Community and Culture - Human Interest,200027
Fashion,188150,1,Fashion,1838597537785761456,,,,,Community & Culture,101670,Community and Culture - Arts and Entertainment,200026
Education,188151,1,Features - Education|Education,67177469537839092|1299084039122330812,Community & Culture - Education,420130,,,Community and Culture - Education|Community & Culture|Community & Culture - Education,961915|101670|853075,Community and Culture - Education,200031
Personal Tech,188152,1,Business - Tech|Personal Tech,67177469537839088|6165302842344507276,,,,,,,,
Animals,188153,1,Features - Animals|Animals,67177469537839090|8262647069141872391,,,,,Community & Culture,101670,Community and Culture - Human Interest,200027
Religion/Belief,188154,1,Features - Religion/Belief|Religion/Belief,67177469537839095|6968569110039880255,,,,,Community & Culture,101670,,
Science,188155,1,Features - Science|Science,67177469537839096|3546601807406241322,,,,,Community & Culture,101670,,
Travel,188156,1,Features - Travel|Travel,67177469537839097|6964975395472109186,,,,,Community & Culture,101670,,
Financial Markets - Commodities,188157,0,,,,,Financial Markets - Commodities,4571554529368956306,,,,
Agriculture - Commodity,188158,1,,,Business|Commodities - Agriculture,410000|400004,Financial Markets - Commodities - Agriculture,1362101058896767838,Business and Economics - Commodities|Business|Business and Economics - Agriculture|Commodities - Agriculture,961906|177711|961966|853070,,
Financial Markets - Commodities - Energy,188159,0,,,,,Financial Markets - Commodities - Energy,6292787960820313353,,,,
Energy - Alternative,188160,1,,,Business|Commodities - Uncategorized Commodities,410000|400007,Financial Markets - Commodities - Energy - Alternative,7701711006189346119,Business and Economics - Commodities|Business|Commodities - Uncategorized Commodities,961906|177711|853103,,
Natural Gas - Commodity,188161,1,,,Business|Commodities - Natural Gas,410000|400005,Financial Markets - Commodities - Energy - Natural Gas,5243989543973367712,Business and Economics - Commodities|Business|Business and Economics - Natural Gas|Commodities - Natural Gas,961906|177711|961967|853069,,
Oil - Commodity,188162,1,,,Business|Commodities - Oil,410000|400006,Financial Markets - Commodities - Energy - Oil,7063980596239468590,Business and Economics - Commodities|Business|Business and Economics - Oil|Commodities - Oil,961906|177711|961968|853068,,
Base Metals,188163,1,,,,,Financial Markets - Commodities - Metals - Base Metals,3148118255186702439,,,,
Precious Metals,188164,1,,,,,Financial Markets - Commodities - Metals - Precious Metals,2841994881459805734,,,,
Currencies - Emerging Markets,188165,1,,,Business,410000,Financial Markets - Currencies - Emerging Markets,1026529519624503374,Business,177711,,
Currencies - G10,188166,1,,,Business,410000,Financial Markets - Currencies - G10,9169969433214975577,Business,177711,,
Derivatives,188167,1,,,Business,410000,Financial Markets - Derivatives,1597988047507569771,Business,177711,,
Exchanges,188168,1,,,Business,410000,Financial Markets - Exchanges,8452248232449906933,Business,177711,,
Financial Markets - Fixed Income,188169,0,,,Business,410000,Financial Markets - Fixed Income,480806916644732748,Business,177711,,
Fixed Income - Corporate (IG & HY),188170,1,,,Business,410000,Financial Markets - Fixed Income - Corporate (IG & HY),3666182164759223396,Business,177711,,
Fixed Income - Municipal,188171,1,,,Business,410000,Financial Markets - Fixed Income - Municipal,7515556889051637227,Business,177711,,
Fixed Income - Sovereign Bonds,188172,1,,,Business,410000,Financial Markets - Fixed Income - Sovereign,6058682077452721965,Business,177711,,
Financial Markets - Fixed Income - Sovereign - International,188173,0,,,Business,410000,Financial Markets - Fixed Income - Sovereign - International,5429891861803265092,Business,177711,,
Financial Markets - Fixed Income - Sovereign - US Treasuries,188174,0,,,Business,410000,Financial Markets - Fixed Income - Sovereign - US Treasuries,8962413018452268479,Business,177711,,
Financial Markets - Regulation,188175,0,,,,,Financial Markets - Regulation,152440740261370513,,,,
Corporate Actions - IPO,188176,1,,,Business,410000,Corporate Actions - IPO,5074927883755439745,Business,177711,Corporate - IPO,200033
Corporate Actions - M&A,188177,1,,,Business,410000,Corporate Actions - M&A,5074927918214493413,Business,177711,Corporate - MandA,200034
Corporate Actions - Announcements,188178,1,,,Business,410000,Corporate Actions - Material Events,4269588763251913441,Business,177711,Corporate - Announcements,200035
Macroeconomy - Economic Indicator,188179,1,,,Business,410000,Macroeconomy - Economic Indicator,8227679851008351593,Business,177711,Government and Policy - Economics,200000
Macroeconomy - Economic Policy & Central Banks,188180,0,,,Business,410000,Macroeconomy - Economic Policy & Central Banks,8570942375339472880,Business,177711,Government and Policy - Economics,200000
Public Health - Disease Outbreak,188181,0,,,,,Health - Disease Outbreak,4022233168060710482,Service Quality & Public Perception,214218,Public Safety and Unrest - Health Risks,200013
Public Health - Food Safety,188182,1,Health Issues,7999775135343173770,Public Health - Diseases|Public Health - Diseases,8672449468060180885|400090,Health - Food Safety,3727612198869168069,Public Health - Diseases|Service Quality & Public Perception|Public Health - Diseases,124019|214218|853094,Public Safety and Unrest - Health Risks,200013
Public Health - Policy & Technology,188183,0,,,Politics,410007,Health - Health Policy,8822959453602535499,Politics|Politics & Policy,201466|963003,,
Manufacturing - Labor & Production,188184,0,,,,,Manufacturing - Labor & Production,2522459410641816622,,,,
Manufacturing - Materials,188185,0,,,,,Manufacturing - Materials,5384884963201394805,,,,
Manufacturing - Regulation,188186,0,,,,,Manufacturing - Regulation,8418114903675317909,,,,
Conferences & Live Events,188187,0,,,,,Conferences & Live Events,1764430633664716901,,,,
Conferences & Live Events - Macro,188188,1,,,Business,410000,Conferences & Live Events - Macro,7533062588793598962,Business,177711,Conferences - Macro,200040
Conferences & Live Events - Politics,188189,1,,,Business,410000,Conferences & Live Events - Politics,2693595953285515693,Business,177711,Conferences - Macro,200040
Conferences & Live Events - Basic Materials,188190,1,,,Business,410000,Conferences & Live Events - Basic Materials,5017038908772117808,Business,177711,Conferences - Basic Materials,200042
Conferences & Live Events - Consumer Goods,188191,1,,,Business,410000,Conferences & Live Events - Consumer Goods,7592704694497517792,Business,177711,Conferences - Consumer Goods,200043
Conferences & Live Events - Consumer Services,188192,1,,,Business,410000,Conferences & Live Events - Consumer Services,4141371405748284376,Business,177711,Conferences - Consumer Services,200044
Conferences & Live Events - Financials,188193,1,,,Business,410000,Conferences & Live Events - Financials,4713051903374550228,Business,177711,Conferences - Financials,200045
Conferences & Live Events - Health Care,188194,1,,,Business,410000,Conferences & Live Events - Health Care,8674134208266701689,Business,177711,Conferences - Health Care,200046
Conferences & Live Events - Industrial,188195,1,,,Business,410000,Conferences & Live Events - Industrial,4969373353152013414,Business,177711,Conferences - Industrials,200047
Conferences & Live Events - Oil & Gas,188196,1,,,Business,410000,Conferences & Live Events - Oil & Gas,2481072893420313677,Business,177711,Conferences - Oil and Gas,200048
Conferences & Live Events - Technology,188197,1,,,Business,410000,Conferences & Live Events - Technology,243045525997286716,Business,177711,Conferences - Technology,200049
Conferences & Live Events - Telecommunications,188198,1,,,Business,410000,Conferences & Live Events - Telecommunications,5802096312163730621,Business,177711,Conferences - Telecommunications,200050
Conferences & Live Events - Utilities,188199,1,,,Business,410000,Conferences & Live Events - Utilities,6302137498774780944,Business,177711,Conferences - Utilities,200051
Technology,188200,0,,,,,Technology,831996890673343800,,,,
Tech - Hardware,188202,1,,,,,Technology - Hardware,6585499759793697023,,,,
Tech - Gaming & Entertainment Software,188203,1,,,,,Technology - Software,7462545369684396976,,,,
"Broadcasting, Cable, & Satellite",188204,1,,,,,Technology - Telecom,7576489919848523750,,,,
Real Estate,188205,1,,,,,Real Estate,6807165534522709510,,,,
Real Estate - Commercial,188206,0,,,,,Real Estate - Commercial,6221036556213471915,,,,
Real Estate - Residential,188207,0,,,,,Real Estate - Residential,4954539022953202667,,,,
Infrastructure - Commercial,188208,0,Crime & Public Safety|Transportation and Infrastructure,67177469537839053|3740096349638483156,Transportation & Infrastructure,410010,,,Infrastructure - Commercial|Transportation & Infrastructure,124029|726708,Infrastructure and Disruption - Commercial and Residential,200052
Automobiles & Parts (EGEEN.TR),188209,0,,,,,,,,,,
Consumer Staples (SSMS.ID),188210,0,,,,,,,,,,
"Finance Sports, Media & Entertainment",188211,0,,,,,Technology - Software,7462545369684396976,,,,
Financial Services - Asset Management & Investment Banks (VERUS.TR),188212,0,,,,,,,,,,
Financial Services - Commercial Banks (VERUS.TR),188213,0,,,,,,,,,,
Tech - Payment & Data Processing,188214,1,,,,,Technology - Software,7462545369684396976,,,,
Financial Services - Insurance (VAS.IT),188215,0,,,,,,,,,,
Food Producers (FNP.AU),188216,0,,,,,,,,,,
Health & Health Care - Health Care Equipment & Services (EYC.CA),188217,0,,,,,,,,,,
Health & Health Care - Pharmaceuticals & Biotechnology (NWRN.CH),188218,0,,,,,,,,,,
Aerospace & Defense,188219,1,,,,,Manufacturing - Labor & Production,2522459410641816622,,,,
Chemicals,188220,1,,,,,Manufacturing - Materials,5384884963201394805,,,,
"Industrials - Construction, Packaging, & Paper",188221,1,,,,,Manufacturing - Materials,5384884963201394805,,,,
Freight & Logistics,188222,1,,,,,Manufacturing - Labor & Production,2522459410641816622,,,,
Industrials - General,188223,0,,,,,Manufacturing - Labor & Production,2522459410641816622,,,,
Industrials - Maritime Shipping,188224,0,,,,,Manufacturing - Labor & Production,2522459410641816622,,,,
Retail - Apparel & Accessories (IFA.CA),188225,0,,,,,,,,,,
Retail - Internet E-Commerce,188226,1,,,,,Technology - Software,7462545369684396976,,,,
Retail - Food & Drug Retailers (QKLS),188227,0,,,,,,,,,,
Retail - General Goods (CFAO),188228,0,,,,,,,,,,
Tech - Internet,188229,0,,,,,Technology - Software,7462545369684396976,,,,
Tech - Mobile Devices & Wearables,188230,0,,,,,Technology - Hardware,6585499759793697023,,,,
Tech - Semiconductors,188231,1,,,,,Technology - Hardware,6585499759793697023,,,,
Tech - Social Media,188232,1,,,,,Technology - Software,7462545369684396976,,,,
Tech - Software & Services,188233,1,,,,,Technology - Software,7462545369684396976,,,,
Tech - Video Games,188234,0,,,,,Technology - Software,7462545369684396976,,,,
Travel & Leisure - Hotels (GHG),188235,0,,,,,,,,,,
Travel & Leisure - Gaming (IGAM.CA),188236,0,,,,,,,,,,
Travel & Leisure - Airlines (AFLT.RU),188237,0,,,,,,,,,,
Travel & Leisure - Restaurants (SPSA.CA),188238,0,,,,,,,,,,
Travel & Leisure - Tourism (GHG),188239,0,,,,,,,,,,
Telecommunications - Disruptions,188240,1,Outages & Service Disruptions - Communications|Transportation and Infrastructure,67177469537839060|3740096349638483156,Infrastructure - Utilities|Infrastructure - Communications|Transportation & Infrastructure|Outages & Service Disruptions - Communications,154035|154015|410010|400084,Infrastructure - Utilities,6410390538140005318,Infrastructure - Utilities|Transportation & Infrastructure|Outages & Service Disruptions - Communications|Outages & Service Disruptions - Communications,124011|726708|853037|963162,Infrastructure and Disruption - Utilities,200004
Infrastructure - Utilities - Gas & Electricity,188241,1,Transportation and Infrastructure,3740096349638483156,Infrastructure - Utilities|Transportation & Infrastructure,154035|410010,Infrastructure - Utilities,6410390538140005318,Infrastructure - Utilities|Transportation & Infrastructure,124011|726708,Infrastructure and Disruption - Utilities,200004
Infrastructure - Utilities - Water,188242,1,Outages & Service Disruptions - Water|Transportation and Infrastructure,67177469537839063|3740096349638483156,Infrastructure - Water|Transportation & Infrastructure,154025|410010,Infrastructure - Utilities,6410390538140005318,Infrastructure - Utilities|Transportation & Infrastructure,124011|726708,Infrastructure and Disruption - Utilities,200004
Macroeconomy - Commentary & Independent Research,188243,0,,,Business,410000,Macroeconomy - Economic Indicator,8227679851008351593,Business,177711,,
Finance Politics,188244,0,,,Politics,410007,Politics - US - Other,2845353310524383964,Politics|Politics & Policy,201466|963003,Government and Policy - US Politics,200011
Finance International Politics,188246,1,,,Politics,410007,Politics - International,8615442703870115732,Politics|Politics & Policy,201466|963003,Government and Policy - International Politics,200012
Media,188247,1,Media,144001,Community & Culture - Media,420131,,,Community and Culture - Media|Community & Culture|Community & Culture - Media,961912|101670|853076,Community and Culture - Media,5743835351368118639
USA Presidency,188248,1,,,Politics,410007,Politics - US Presidency,134002,Politics|Politics & Policy,201466|963003,Government and Policy - US Presidency,200055
Conflicts - Air,188249,1,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Conflicts - Air|Conflicts|Conflicts - Air,154001|410001|400008,,,Conflicts,335630,,
Conflicts - Land,188250,1,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Conflicts - Land|Conflicts - Land|Physical Threats - Conflict & Terrorism|Conflicts|Conflicts - Land|Conflict & Terrorism,154002|154013|420032|410001|400009|420132,,,Conflict and Terrorism|Conflicts|Conflict & Terrorism,124005|335630|853077,,
Conflicts - Sea,188251,1,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Conflicts - Sea|Physical Threats - Conflict & Terrorism|Conflicts|Conflicts - Sea|Conflict & Terrorism,154003|420032|410001|400010|420132,,,Conflict and Terrorism|Conflicts|Conflict & Terrorism,124005|335630|853077,,
Electronic Warfare,188252,1,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Technology - Communications|Military Developments & Tech - Electronic Warfare,154004|400079,,,,,,
Missiles,188253,1,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Technology - Aerospace|Military Developments & Tech - Missiles,154005|400080,,,,,,
Naval Technology,188254,1,Features - Science|Science,67177469537839096|3546601807406241322,Technology - Nautical|Technology - Developments|Military Developments & Tech - Defense Technology|Military Developments & Tech - Naval,154006|154018|400077|400081,,,,,,
Drones,188255,1,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Technology - Electronics|Conflicts|Military Developments & Tech - Drones|Transportation - Drones,154007|410001|400078|420136,,,Conflicts|Transportation - Drones,335630|853058,,
Nuclear,188256,1,Hazards - Uncategorized Hazards|Transportation and Infrastructure,67177469537839058|3740096349638483156,Infrastructure - Resources & Production|Transportation & Infrastructure|Military Developments & Tech - Nuclear,154008|410010|400082,,,Infrastructure - Resources and Production|Transportation & Infrastructure,124012|726708,,
Air Defense,188257,1,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Infrastructure - Protection|Military Developments & Tech - Air Defense,154009|400076,,,,,,
Military Affairs,188258,1,Politics & Policy - Military Affairs|International Affairs,67177469537839065|402248473390474532,"Politics and International Affairs - Military Affairs|Politics|Defense & Intel Developments - Military Affairs|Government, Policy & Political Affairs - International Politics",154010|410007|400031|400036,,,"Government, Policy, and Political Affairs - International Politics|Politics|Government, Policy, & Political Affairs - International Politics|Politics & Policy",124017|201466|853089|963003,,
Terrorism/Public Violence All,188259,0,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Public Safety - Emergency Response|Physical Threats - Conflict & Terrorism|Conflicts,154011|420032|410001,Conflicts and Violence,134001,Conflict and Terrorism|Conflicts|Conflict & Terrorism,124005|335630|853077,Public Safety and Unrest - Crime and Terrorism,200003
Mass Violence,188260,1,Conflict & Unrest|Conflict and Unrest,67177469537839089|8489189951164124970,Public Safety - Emergency Response|Physical Threats - Conflict & Terrorism|Conflicts|Terrorism - Terrorism & Mass Violence|Conflict & Terrorism,154011|420032|410001|400110|420132,Conflicts and Violence,134001,Conflict and Terrorism|Conflicts|Conflict & Terrorism,124005|335630|853077,Public Safety and Unrest - Crime and Terrorism,200003
Space,188261,1,Space|Transportation and Infrastructure,67177469537839066|3740096349638483156,Transportation - Space|Transportation & Infrastructure|Military Developments & Tech - Space,154012|410010|400083,,,Transportation & Infrastructure|Transportation - Space,726708|853065,,
Partner Military and Diplomatic Assets,188262,1,Conflict & Unrest|Transportation and Infrastructure,67177469537839089|3740096349638483156,"Infrastructure - Government|Transportation & Infrastructure|Defense & Intel Developments - US, FVEYs, NATO Defense",72920420556240297|410010|400030,,,Transportation & Infrastructure,726708,,
Finance Conflicts and Violence,188263,0,,,Conflicts,410001,Conflicts and Violence,134001,Conflicts,335630,Public Safety and Unrest - Conflict,200058
Cryptocurrency,188264,0,,,,,Currencies - Cryptocurrency,134003,,,,
