dim_esdc_grp.esdcs,fact_alert.alert_id,fact_alert.original_text,fact_alert.source_link,fact_alert.caption,dim_internal_topic_grp.internal_topics,alert_top_threshold.top_threshold__sort_,alert_top_threshold.top_threshold,fact_alert.translated_text,dim_auto_alert_modelset.modelset_name,dim_source.source,primary_source_channel.channel,fact_alert.has_tagged_company,fact_alert.location_name,dim_internal_place.country,fact_alert.location_parsed,fact_alert.alert_caption_ai_summary
"ESDC - Electricity - Disruptions, ESDC - Floods",823927945740214213060716-1781785716000-1,"Headline: GWP warns Aragvi River water levels will rise after heavy rainfall; Date: ٠٦/١٨/٢٠٢٦; Article Text: Georgian Water and Power (GWP) has issued a warning that increased water flow is expected in the Aragvi River from June 18 following heavy precipitation in the Mtskheta-Mtianeti region and increased inflow into the Zhinvali Reservoir. The company said excess water released from the reservoir will add to the river’s natural flow, raising water levels in the coming period. GWP noted that reservoir operations are being strictly managed under established safety instructions to maintain dam stability and regulate water discharge. The company urged the public to exercise caution when moving along the Aragvi riverbed during this period, citing safety concerns linked to fluctuating water levels.",https://georgiatoday.ge/gwp-warns-aragvi-river-water-levels-to-rise-after-heavy-rainfall/,Georgian Water and Power warns of rising water levels in Aragvi River following heavy rainfall: Local News Outlet.,"+ Electricity - Disruptions, + Floods, + Infrastructure - Utilities - Water - Non-Matching, Infrastructure - Utilities - Gas & Electricity, Infrastructure - Utilities - Water, Natural Disasters",4,Signal,,ml_int_mds_pas_countries,georgia today,localnews,No,"Aragvi, Georgia",Georgia,"41.8405593,44.7270332","Heavy rainfall has caused rising water levels in the Aragvi River, prompting a warning from Georgian Water and Power."
"ESDC - Electricity - Disruptions, ESDC - Floods, ESDC - High Winds",10659428077530467-1781870838462-1,"
Природный апокалипсис: на Шахты обрушился град размером с грецкий орех
Город Шахты днем 19 июня попал под влияние стихии. Около 13:30 пошел ливень, к которому быстро добавился град. Льдинки размером с грецкий орех начали лупить по окнам, припаркованным машинам, домам и земле. При этом ливень усилился и по улицам потекли бурные реки вперемешку со льдом.
Длился природный апокалипсис в течение 20 минут. Затем град прекратился, но продолжился дождь.
Так как стихия сопровождалась сильным ветром, произошел обрыв проводов электричества и интернета. С деревьев облетели листья, поломало сухие ветки.
",https://kvu.su/mainnews/17908-prirodnyj-apokalipsis-na-shahty-obrushilsja-grad-razmerom-s-greckij-oreh.html,"Flooding and downed power and internet lines after hailstorm and strong winds in Shakhty, Russia: Local News Outlet.","+ Electricity - Disruptions, + Floods, + High Winds, Infrastructure - Utilities - Gas & Electricity, Natural Disasters, Telecommunications - Disruptions",4,Signal,"
Natural Apocalypse: Walnut-Sized Hail Storms Hit Shakhty
On the afternoon of June 19, the city of Shakhty was hit by a natural disaster. Around 1:30 p.m., a downpour began, quickly followed by hail. Hailstones the size of walnuts began pelting windows, parked cars, houses, and the ground. At the same time, the downpour intensified, and torrential rivers of rain mixed with ice flowed down the streets.
This natural disaster lasted for 20 minutes. Then the hail stopped, but the rain continued.
Since the storm was accompanied by strong winds, power and internet lines were severed. Leaves were blown off the trees, and dry branches were snapped.
",uf_ee_mds_pas_revision_lowthreshold,kvu,localnews,No,"Shakhty, Rostov Oblast, Russia",Russian Federation,"47.7086074,40.2160379","A hailstorm and strong winds hit Shakhty, Russia, causing flooding, downed power lines, and internet outages."
"ESDC - Electricity - Disruptions, ESDC - Floods, ESDC - High Winds, ESDC - Tornados",2790846667493808400852588209-1781820385060-1,"
Red Cross sets up shelter for Williamstown residents still without power
Editorial Standards
Editorial Standards
The Greater Cincinnati Tri-State Chapter of the American Red Cross has set up a shelter for some residents still without power from Wednesday night’s storms.
There were multiple tornado reports, wind damage and flash flooding late Wednesday into the pre-dawn hours of Thursday.
The storms took down trees, left scattered debris and for thousands of people, knocked out power around Greater Cincinnati.
According to the Red Cross, residents of Williamstown, Kentucky, could be without power for several days and the organization is stepping up to help.
The Red Cross shelter for Williamstown residents without electricity is located at Sherman Elementary on Dixie Highway in Dry Ridge.
More information on the Greater Cincinnati Tri-State Chapter of the American Red Cross can be found here.
",https://www.wlwt.com/article/red-cross-shelter-williamstown-kentucky-electricity/71632052,"Red Cross sets up shelter for residents without power after multiple tornado reports, wind damage, and flash flooding on June 17 in Williamstown, KY: Local News Outlet.","+ Electricity - Disruptions, + Floods, + High Winds, + Tornados, Infrastructure - Utilities - Gas & Electricity, Natural Disasters",2,National Urgent,,uf_us_mds_pas_revision,wlwt5,localnews,No,"3987 Dixie Hwy, Dry Ridge, KY 41035, USA",United States of America,"38.725616,-84.6004002","Red Cross sets up shelter in Williamstown, KY, for residents without power after multiple tornado reports, wind damage, and flash flooding on June 17."
"ESDC - Electricity - Disruptions, ESDC - Floods, ESDC - Hurricanes & Tropical Storms, ESDC - Roadways - Logistics, ESDC - Roadways - Safety",2022832493-1781794198000-3,Update: Assessing damage post-TS Arthur. Looks like Airline Highway near Labarre and L&A Road took one some significant damage. Flooding and power outages across the Parish although happy to hear reports that plenty of power has been restored relatively quickly this morning.,https://twitter.com/ScottWalkerJP/status/2067620845149642871,"Flooding and power outages reported after Hurricane Arthur at intersection of South Labarre Road and L and A Road in Metairie, LA: Government Video.","+ Electricity - Disruptions, + Floods, + Hurricanes & Tropical Storms, + Roadways - Logistics, + Roadways - Safety, Infrastructure - Utilities - Gas & Electricity, Natural Disasters, Roadways - Physical",4,Signal,,uf_us_mds_pas_revision,twitter,gov,No,"S Labarre Rd & L and A Rd, Metairie, LA 70001, USA",United States of America,"29.9724836,-90.1520861","Flooding and power outages reported at South Labarre Road and L and A Road in Metairie, LA, after Hurricane Arthur."
"ESDC - Electricity - Disruptions, ESDC - Floods, ESDC - Roadways - Logistics, ESDC - Roadways - Safety",1897811419853705964-1781779284000-1,"As a result of last night storms, several roadways are underwater from flash flooding. Please use caution as you begin to travel area roads this morning. Additionally, Jeffers Road in Lodi Township is currently closed due to a power line in the roadway.",https://www.facebook.com/story.php?story_fbid=1003688515747850&id=100083201325259,"Downed power line due to flash flooding prompts road closure on Jeffers Road in Lodi Township, OH on June 17: Emergency Responder.","+ Electricity - Disruptions, + Floods, + Roadways - Logistics, + Roadways - Safety, Infrastructure - Utilities - Gas & Electricity, Natural Disasters, Roadways - Physical",4,Signal,,uf_en_windsurf_pas,fb,emergency,No,"Jeffers Rd, Lodi Township, OH 45701, USA",United States of America,"39.2455626,-82.0347799","A downed power line caused by flash flooding led to a road closure on Jeffers Road in Lodi Township, OH, on June 17."
"ESDC - Electricity - Disruptions, ESDC - Floods, ESDC - Roadways - Logistics, ESDC - Roadways - Safety",1809142956-1781786150000-3,"There are a lot of downed trees, flooding and power outages across southeast Louisiana.   These are pictures  from Cecil at Palm Street  Palm Air/Hollygrove neighborhood.  Watch @wdsu here as we assess storm Damage: https://t.co/l4PXBpJcfV",https://www.wdsu.com/nowcast,"Downed trees, flooding, and power outages reported following storm across southeast Louisiana: Local News Outlet Photo.","+ Electricity - Disruptions, + Floods, + Roadways - Logistics, + Roadways - Safety, + Tornados, Infrastructure - Utilities - Gas & Electricity, Natural Disasters, Roadways - Physical",3,Local Urgent,,,wdsu,localnews,No,"Palm Street, New Orleans, LA, USA",United States of America,"29.9709352,-90.1192709","A storm swept across southeast Louisiana, causing downed trees, flooding, and power outages."
"ESDC - Electricity - Disruptions, ESDC - Floods, ESDC - Roadways - Logistics, ESDC - Roadways - Safety",1220930188-1781780923000-3,"Fuerte aguacero provoca inundaciones, apagones y emergencias en Bucaramanga y Girón #VocesySonidos  https://t.co/iGt7Nf45xD",https://www.bluradio.com/regiones/santanderes/fuerte-aguacero-provoca-inundaciones-apagones-y-emergencias-en-bucaramanga-y-giron-rg10,"Flooding, downed trees, and power outages reported due to heavy rainfall in Santa Cruz area of Giron, Santander, Colombia: Local News.","+ Electricity - Disruptions, + Floods, + Roadways - Logistics, + Roadways - Safety, Infrastructure - Utilities - Gas & Electricity, Natural Disasters, Roadways - Physical",3,Local Urgent,"Heavy downpour causes flooding, power outages, and emergencies in Bucaramanga and Girón #Voices and Sounds https://t.co/iGt7Nf45xD ",uf_latam_mds_pas_revision,blu radio,localnews,No,"Santa Cruz, Cl. 19 #26-25, Girón, Santander, Colombia",Colombia,"7.061041,-73.170321","Heavy rainfall in Giron, Santander, Colombia, causes flooding, downed trees, and power outages in the Santa Cruz area."
"ESDC - Electricity - Disruptions, ESDC - Floods, ESDC - Roadways - Logistics, ESDC - Roadways - Safety, ESDC - Structure Fires",1694033421468458058292-1781841716000-1,South and North Ann street is flooded. No power at all. A transformer caught on fire!!!! 🔥,https://www.facebook.com/story.php?story_fbid=122192493572771926&id=61573157790857,"Transformer fire and flooding reported on Ann Street in Saraland, AL: Local Source.","+ Electricity - Disruptions, + Floods, + Negative Sentiment, + Roadways - Logistics, + Roadways - Safety, + Structure Fires, Fires & Collapses, Infrastructure - Utilities - Gas & Electricity, Natural Disasters, Roadways - Physical",3,Local Urgent,,,fb,chatter,No,"Ann Street, Saraland, Mobile, AL, USA",United States of America,"30.80957,-88.090505","Transformer fire and flooding reported on Ann Street in Saraland, AL."
"ESDC - Electricity - Disruptions, ESDC - Floods, ESDC - Weather Advisories",85666184111836882525-1781818755321-1,"
Heavy thunderstorms hit Vermont on Thursday, triggering a flash flood warning for part of Bennington County and causing power outages across the state.
Storms began rolling over the state early Thursday morning, and by the afternoon, the National Weather Service had issued severe thunderstorm warnings for the area around Rutland, Middlebury, Montpelier and much of Windsor County. Warnings for high winds and tornadoes were also issued for much of the state.
“We definitely are seeing several parts of power outages, trees down, power lines down, those are the main impacts of this line of storm,” said Adrianna Kremer, a meteorologist in the Burlington office of the National Weather Service.
As of 4 p.m., high winds and heavy rain had left more than 20,000 customers without power, mostly in Windsor and Bennington counties.
WCAX and NBC5 reported a possible tornado around Woodstock.
“We have outages in all of our districts, so we have about 15 district offices around the state, and the hardest hit are in Sunderland, White River, Montpelier and Royalton districts,” said Kristin Carlson, a spokesperson for Green Mountain Power.
Carlson said that crews had already restored power to 10,000 customers by late afternoon, but it was too early to give an estimate as to when power would be restored to those still without it.
A flash flood warning was issued in Dorset and Sandgate in Bennington County, with an inch and a half of rain rapidly dropping on the region, according to Kremer. The warning is in effect until 6 p.m.
The line of storms was set to pass over Vermont by the end of Thursday, according to the weather service.
“Luckily the main impacts are slowly moving out of Vermont in the next hour or so, so it should be improving here on out,” Kremer said. “But definitely just encourage people to stay weather-aware and be safe today.”
Storms and prolonged rain are expected throughout the weekend starting Friday night, with the possibility of more thunderstorms, according to the weather service.
",https://vtdigger.org/2026/06/18/thunderstorms-hit-vermont-downing-powerlines-and-causing-a-flash-flood-warning-in-bennington-county/,"Flash flood warning issued in Dorset and Sandgate areas of Bennington County with 20,000 customers experiencing power outages in Windsor and Bennington counties, VT: Blog.","+ Electricity - Disruptions, + Floods, + Weather Advisories, Infrastructure - Utilities - Gas & Electricity, Natural Disasters",2,National Urgent,,uf_us_mds_pas_revision,vt digger,blog,No,"Windsor County, VT, USA",United States of America,"43.4369244,-72.6151169","A flash flood warning has been issued for Dorset and Sandgate areas of Bennington County, with 20,000 customers experiencing power outages in Windsor and Bennington counties, VT."
ESDC - Floods,8010219704516032263953-1781769584518-1,"Choke 35 responds 2206 Quebec Road, cross-driven Metro Court and Fair Street. Caller reporting basement flooding, fire run is main. Choke 35 responds 2206 Quebec Road. Caller reporting basement flooding, fire run is main.",https://audio.dataminr.com/prod/2026/06/18/1781769493.8769746ch0segment1.wav,"Flooding reported on 2200 block of Quebec Road in Cincinnati, OH: Sensor.","+ Floods, Natural Disasters",3,Local Urgent,,us_scanner_1,scanner,sensor,No,"2206 Quebec Rd, Cincinnati, OH 45214, USA",United States of America,"39.1217906,-84.5654654","Flooding reported on 2200 block of Quebec Road in Cincinnati, OH."
ESDC - Floods,6455410384156090514893-1781820628405-1,"5211. Sir, I'm 95 south, just prior to 54. The left side is all flooded. I call HOC, they're going to try to get somebody out. The left side and the right side, some flood on that side too.",https://audio.dataminr.com/prod/2026/06/18/1781820538.5216548ch0segment0.wav,"Flooding reported in Boston, MA: Sensor.","+ Floods, Natural Disasters",3,Local Urgent,,us_scanner_1,scanner,sensor,No,"Boston, MA, USA",United States of America,"42.3555076,-71.0565364","Flooding reported in Boston, MA, as of June 18, 2026, 22:12:19.366."
ESDC - Floods,3534195940599518645699-1781804423571-1,"Tichito County Fire Personnel, Campbellville Fire Rescue Special Officer, Response 6350 Hodgenville Road, 6350 Hodgenville Road for report of high water. Near a residence, family unable to get to the house.",https://audio.dataminr.com/prod/2026/06/18/1781804334.5198727ch0segment0.wav,"High water reported on 6350 block of Hodgenville Road in Campbellsville, KY: Sensor.","+ Floods, Natural Disasters",4,Signal,,us_scanner_1,scanner,sensor,No,"6350 Hodgenville Rd, Campbellsville, KY 42718, USA",United States of America,"37.3919057,-85.431072","High water reported on 6350 block of Hodgenville Road in Campbellsville, KY."
ESDC - Floods,99401246453901460169655-1781776229000-1,"Flooding at 1758 E UNIVERSITY AVE, STE 1, LAS VEGAS, NV",https://web.pulsepoint.org/?agencies=05031&incident=2499389974&tab=3,"Flooding reported on 1750 block of East University Avenue in Las Vegas, NV: Sensor.","+ Floods, Natural Disasters",5,Local Signal,,us_911sites_pas,pulsepoint,sensor,No,"E University Ave., Las Vegas, NV, USA",United States of America,"36.109303,-115.129188","Flooding reported on 1750 block of East University Avenue in Las Vegas, NV."
ESDC - Floods,306895959545398-1781807760000-1,"Flash Flood Warning issued June 18 at 1:36PM CDT until June 18 at 3:30PM CDT by NWS New Orleans LA
FFWLIX

The National Weather Service in New Orleans has extended the

* Flash Flood Warning for...
South Central Pearl River County in southern Mississippi...

* Until 330 PM CDT.

* At 136 PM CDT, local law enforcement reported water is approaching
homes and businesses. Multiple roads are closed due to flooding
including US Highway 11 and Interstate 59 near Picayune. Between 8
and 11 inches of rain have fallen. Additional rainfall amounts up
to 1 inch are possible in the warned area.

FLASH FLOOD EMERGENCY for Picayune and Nicholson, Mississippi. This
is a PARTICULARLY DANGEROUS SITUATION. SEEK HIGHER GROUND NOW!

HAZARD...Life threatening flash flooding. Thunderstorms producing
flash flooding.

SOURCE...Law enforcement reported.

IMPACT...This is a PARTICULARLY DANGEROUS SITUATION. SEEK HIGHER
GROUND NOW! Life threatening flash flooding of low water
crossings, small creeks and streams, urban areas,
highways, streets and underpasses.

* Some locations that will experience flash flooding include...
Picayune and Nicholson.

Severe",https://warn.pbs.org/,"Flooding alert issued in Pearl River County, MS: Government.","+ Floods, Natural Disasters",4,Signal,,dgm_us_ipaws_a,ipaws,gov,No,"Pearl River County, MS",United States of America,"30.8034081,-89.6251646","A flooding alert has been issued in Pearl River County, Mississippi, as of June 18, 2026, at 6:41 PM."
ESDC - Floods,048064573127455-1781834731950-1,"Curve now about 30 ago, Neva from 433E63 had moved the color sprinkler and caught flooding in her shed.",https://audio.dataminr.com/prod/2026/06/19/1781834642.2460601ch0segment0.wav,"Flooding reported on 430 block of East 63rd Street in Tacoma, WA: Sensor.","+ Floods, Natural Disasters",3,Local Urgent,,us_scanner_1,scanner,sensor,No,"433 E 63rd St, Tacoma, WA 98404, USA",United States of America,"47.2001879,-122.424319","Flooding reported on 430 block of East 63rd Street in Tacoma, WA."
ESDC - Floods,338887492082592051150-1781854828000-1,"Flooding at 100 S VIGNES ST, LOS ANGELES, CA",https://web.pulsepoint.org/?agencies=LAFDC&incident=2500124804&tab=3,"Flooding reported on 100 block of South Vignes Street in Los Angeles, CA: Sensor.","+ Floods, Natural Disasters",5,Local Signal,,us_911sites_pas,pulsepoint,sensor,No,"1st St, Los Angeles, CA, USA",United States of America,"34.048571,-118.23365","Flooding reported on 100 block of South Vignes Street in Los Angeles, CA."
ESDC - Floods,93021945244648447799501-1781824508528-1,"State, WILAYAH PERSEKUTUAN LABUAN Yellow, Alert; Station name: Sg. Bangat di Kg. Sg. Bangat; District: Labuan; Main Basin: Sungai Kinabenua; Last updated: 19/06/2026; Water Level: 1.14; Normal: 1; Status: Rising",http://publicinfobanjir.water.gov.my/aras-air/data-paras-air/?state=WLP&lang=en,"Alert issued due to rising water levels of Bangat River, leading to Kinabenua River in Labuan, Wilayah Persekutuan Labuan, Malaysia: Government.","+ Floods, Natural Disasters",4,Signal,,dgm_mds_malay_river_levels,public infobanjir,gov,No,"Sg. Bangat di Kg. Sg. Bangat, Labuan, Wilayah Persekutuan Labuan, Malaysia",Malaysia,"5.314829,115.227606","Alert issued due to rising water levels of Bangat River, affecting Kinabenua River in Labuan, Malaysia."
ESDC - Floods,2231055893653899417770-1781792640000-1,"Flash Flood Warning issued June 18 at 9:24AM CDT until June 18 at 11:30AM CDT by NWS New Orleans LA
FFWLIX

The National Weather Service in New Orleans has extended the

* Flash Flood Warning for...
Southeastern St. Tammany Parish in southeastern Louisiana...
Central Hancock County in southern Mississippi...
Southeastern Pearl River County in southern Mississippi...

* Until 1130 AM CDT.

* At 924 AM CDT, emergency management reported thunderstorms
producing heavy rain in multiple streets reported with up to a foot
of water of inundation in Picayune, MS. Life-threatening flash
flooding is expected or imminent in Picayune and Nicholson,
Mississippi. Between 6 and 10 inches of rain have fallen.
Additional rainfall amounts of 2 to 4 inches are possible in the
warned area.

HAZARD...Life threatening flash flooding. Thunderstorms producing
flash flooding.

SOURCE...Emergency management reported.

IMPACT...Life threatening flash flooding of creeks and streams,
urban areas, highways, streets and underpasses.

* Some locations that will experience flash flooding include...
Slidell, Picayune, Eden Isle, Pearl River, Stennis Space Center,
Pearlington and Slidell Airport.

Severe",https://warn.pbs.org/,"Flooding alert issued in St. Tammany County, LA: Government.","+ Floods, Natural Disasters",4,Signal,,dgm_us_ipaws_a,ipaws,gov,No,"St. Tammany County, LA",United States of America,"30.4357418,-89.9253233","A flooding alert has been issued in St. Tammany County, Louisiana, as of June 18, 2026, at 14:31:18.688, according to government reports."
ESDC - Floods,0199755144008044282457-1781768323524-1,"Water flooding the living room, fire ground upon request. Drunk 19, Oliver House, into one West McMillan Street, Unit 102.",https://audio.dataminr.com/prod/2026/06/18/1781768234.1248715ch0segment1.wav,"Flooding reported on 0 block of West McMillan Street in Cincinnati, OH: Sensor.","+ Floods, Natural Disasters",3,Local Urgent,,us_scanner_1,scanner,sensor,No,"1 W McMillan St, Cincinnati, OH 45219, USA",United States of America,"39.1272472,-84.5119289","Flooding reported on 0 block of West McMillan Street in Cincinnati, OH."
