ALERT_ID,CAPTION,INTERNAL_TOPICS,ESDCS,SOURCE_LINK
52693748592114125-1781015420453-1,"PartsSource issues press release on Acquisitions Mergers Takeovers: ""PartsSource Acquires SkillNet to Add Workforce Intelligence to its Enterprise Clinical Technology Platform"": Blog.","Business, Consulting & Commercial Services, Corporate Actions - M&A, Publishing","ESDC - Consulting & Commercial Services, ESDC - Publishing",https://www.prnewswire.com/news-releases/partssource-acquires-skillnet-to-add-workforce-intelligence-to-its-enterprise-clinical-technology-platform-302795419.html
58553309443278346655-1781245816964-1,"JDY botnet, tied to Chinese state-sponsored hacking groups, targets US military networks and exploits CVE-2026-35616 in Fortinet devices: Blog.","+ Cyber - Aerospace & Defense - Industry Threats, + Cyber - Industrials & Manufacturing - Industry Threats, + Cyber - Patches, + Cyber - Technology - Industry Threats, + Cyber - Vendor Vulnerabilities, Cyber - Exploits - Vulnerabilities, Cyber - Malware - Attack Vector, Cyber - Vulnerability Disclosures - Vulnerabilities, Industrials - Equipment & Machinery, Tech - Hardware, Tech - Networking Equipment, Tech - Software & Services","ESDC - Cyber - Exploits, ESDC - Cyber - Vulnerability Disclosures 3, ESDC - Industrials - Equipment & Machinery, ESDC - Tech - Hardware, ESDC - Tech - Software & Services, ESDc - Cyber - Malware 2, ESDc - Cyber - Malware 3, ESDc - Industry Threats - Aerospace & Defense, ESDc - Industry Threats - Industrials & Manufacturing, ESDc - Industry Threats - Technology, ESDc - Patches, ESDc - Vendor Vulnerabilities",https://cybernoz.com/jdy-botnet-evolves-after-kv-takedown-targets-military-networks/
5882532331521001764189517-1781628315000-1,"Cyber threat actor IT Army of Ukraine mentions Docker, Inc. and A-Gas International Ltd in post on Telegram channel: Local Source.","+ Cyber - Technology - Industry Threats, Cyber - Hacktivists - Threat Actors, Tech - Software & Services","ESDC - Tech - Software & Services, ESDc - Industry Threats - Technology",
60063209348302553820-1781796538637-1,"Technology Ireland ICT Skillnet awards four fully funded places on its MSc in Leadership, Innovation and Technology programme: Blog.","+ Executive Reputation, + Media Coverage, Tech - Hardware","ESDC - Executive Reputation, ESDC - Tech - Hardware",https://www.siliconrepublic.com/careers/technology-ireland-ict-skillnet-career-education-upskilling
66144834664924280311781711883610-1781711883610-1,"Pro-Russia NoName05716 and PalachPro hacking groups reportedly compromised 50,000 CCTV cameras across Europe and Ukraine in operation ""Broken Byte"" launched on June 15: Blog Photo.","+ Cyber - Technology - Industry Threats, + Cyber - Vendor Vulnerabilities, Cyber - Data Exposure & Breaches - Data Security, Cyber - Hacktivists - Threat Actors, Cyber - Internet of Things - Cyber-Physical, Cyber - Remote Access & Management Systems - Vulnerabilities, Tech - Hardware","ESDC - Cyber - Data Exposure & Breaches, ESDC - Cyber - Doxxing & Leaked Credentials, ESDC - Cyber - Internet of Things, ESDC - Cyber - Remote Access & Management Systems, ESDC - Tech - Hardware, ESDc - Industry Threats - Technology, ESDc - Vendor Vulnerabilities",https://t.me/mash/75173
706034459988968720-1780350873406-1,"Marie-Claire Kofi co-chairs Sickle Cell Transitions Policy Lab with ERN-EuroBloodNet and ESCF, launching a framework for pediatric to adult care transitions: Blog.","+ Media Coverage, Healthcare - Biotechnology & Pharmaceuticals",ESDC - Healthcare - Biotechnology & Pharmaceuticals,https://hemostasistoday.com/voices/marie-claire-kofi-60394
74754311268766545521779773147895-1779773147895-1,Smeshariki and Perun Swaroga hacking groups publish documents allegedly exfiltrated from Ukrainian Defence Ministry regarding procurement of weapon systems: Blog Photo.,"+ Cyber - Aerospace & Defense - Industry Threats, Cyber - Data Exposure & Breaches - Data Security, Cyber - Doxxing & Leaked Credentials - Data Security, Cyber - Government Buildings - Cyber-Physical, Cyber - Hacktivists - Threat Actors, Defense Sales & Contracts, Military Affairs, Russia - Military","ESDC - Cyber - Data Exposure & Breaches, ESDC - Cyber - Doxxing & Leaked Credentials, ESDC - Defense Contracting, ESDC - Defense Contracting & Sales, ESDc - Industry Threats - Aerospace & Defense",https://t.me/c/2877280721/193
75828872554388296982426-1780431047090-1,Potential cassecurity.com domain impersonation detected on chaossecurity[.]com: Sensor.,"Cyber - Domain Impersonation - Attack Vector, Industrials - Equipment & Machinery","ESDC - Cyber - Domain Impersonation, ESDC - Cyber - Domain Impersonation 3, ESDC - Industrials - Equipment & Machinery",https://whois.domaintools.com/chaossecurity.com
7909719423786031498-1779782845441-1,0Day.Today hacking group claims DDoS attack against Iranian cybersecurity website Cyber Basement: Local Source.,"+ Cyber - Technology - Industry Threats, Cyber - DDoS - Attack Vector, Cyber - Hacktivists - Threat Actors, Cyber - Network Disruptions - Attack Vector","ESDC - Cyber - DDoS, ESDC - Cyber - Network Disruptions, ESDc - Cyber - DDoS 3, ESDc - Cyber - Exploits 2, ESDc - Cyber - Exploits 3",https://t.me/LearnExploit/9978
8492779400417728701-1781165051107-1,"JDY botnet, tied to Chinese state-sponsored hacking groups, exploits CVE-2026-35616 in Fortinet devices for reconnaissance and mapping of exposed services: Blog.","+ Cyber - Aerospace & Defense - Industry Threats, + Cyber - Industrials & Manufacturing - Industry Threats, + Cyber - Patches, + Cyber - Technology - Industry Threats, + Cyber - Vendor Vulnerabilities, Cyber - Exploits - Vulnerabilities, Cyber - Malware - Attack Vector, Cyber - Vulnerability Disclosures - Vulnerabilities, Industrials - Equipment & Machinery, Tech - Hardware, Tech - Networking Equipment, Tech - Software & Services","ESDC - Cyber - Exploits, ESDC - Cyber - Vulnerability Disclosures 3, ESDC - Industrials - Equipment & Machinery, ESDC - Tech - Hardware, ESDC - Tech - Software & Services, ESDc - Cyber - Malware 2, ESDc - Cyber - Malware 3, ESDc - Industry Threats - Aerospace & Defense, ESDc - Industry Threats - Industrials & Manufacturing, ESDc - Industry Threats - Technology, ESDc - Patches, ESDc - Vendor Vulnerabilities",https://securityaffairs.com/193490/malware/jdy-botnet-evolves-after-kv-takedown-targets-military-networks.html
86995423814673031721603753-1781169981117-1,"JDY botnet, tied to Chinese state-sponsored hacking groups, exploits CVE-2026-35616 in Fortinet devices, and uses IoT devices to conduct large-scale reconnaissance and mapping of exposed services: Blog.","+ Cyber - Aerospace & Defense - Industry Threats, + Cyber - Industrials & Manufacturing - Industry Threats, + Cyber - Patches, + Cyber - Technology - Industry Threats, + Cyber - Vendor Vulnerabilities, Cyber - Exploits - Vulnerabilities, Cyber - Malware - Attack Vector, Cyber - Vulnerability Disclosures - Vulnerabilities, Industrials - Equipment & Machinery, Tech - Hardware, Tech - Networking Equipment, Tech - Software & Services","ESDC - Cyber - Exploits, ESDC - Cyber - Vulnerability Disclosures 3, ESDC - Industrials - Equipment & Machinery, ESDC - Tech - Hardware, ESDC - Tech - Software & Services, ESDc - Cyber - Malware 2, ESDc - Cyber - Malware 3, ESDc - Industry Threats - Aerospace & Defense, ESDc - Industry Threats - Industrials & Manufacturing, ESDc - Industry Threats - Technology, ESDc - Patches, ESDc - Vendor Vulnerabilities",https://buaq.net/go-422400.html
8753944496494796946-1781188400010-1,PartsSource acquires SkillNet to expand its platform with workforce intelligence capabilities for healthcare organizations: Stock Talk.,"+ Media Coverage, Consulting & Commercial Services, Healthcare - Biotechnology & Pharmaceuticals, Healthcare - Facilities, Equipment, & Services","ESDC - Consulting & Commercial Services, ESDC - Healthcare - Biotechnology & Pharmaceuticals, ESDC - Healthcare - Facilities, Equipment, & Services",https://pulse2.com/partssource-acquires-skillnet-to-add-workforce-intelligence-to-its-enterprise-clinical-technology-platform/
937935985456945142-1780703658917-1,Eight Brehon Hotel staff graduate from IHF Skillnet Management Development Programme: Local News Outlet.,"+ Media Coverage, Consulting & Commercial Services, Tech - Networking Equipment","ESDC - Consulting & Commercial Services, ESDC - Media Coverage",https://traleetoday.ie/sponsored-the-brehon-hotel-spa-celebrates-graduates-of-ihf-skillnet-management-development-programme/
